,YY,F,CC,M,T
SA,1990,69.5215,SA,64.1765,66.81675
AllWorld,1990,69.14462957,AllWorld,63.44668192,66.20830884
AF,1991,55.02832075,AF,50.96626415,52.96862816
AS,1991,70.71717241,AS,65.60724138,68.07836838
EU,1991,77.36813889,EU,70.03947222,73.62616328
NA,1991,72.19464286,NA,66.45846429,69.26171864
OC,1991,70.07518182,OC,64.73272727,67.22533703
SA,1991,69.93575,SA,64.5285,67.2065
AllWorld,1991,69.21986779,AllWorld,63.72211155,66.39445258
AF,1992,54.80341509,AF,50.71528302,52.72370133
AS,1992,70.87386207,AS,65.51044828,68.08127082
EU,1992,77.35334286,EU,69.45454286,73.26441254
NA,1992,72.41953571,NA,66.70139286,69.49716463
OC,1992,70.14718182,OC,64.80836364,67.30258093
SA,1992,70.192,SA,64.809,67.4865
AllWorld,1992,69.29822293,AllWorld,63.66650511,66.39260504
AF,1993,55.05532075,AF,50.98920755,52.98680396
AS,1993,71.11751724,AS,65.58548276,68.22119092
EU,1993,77.16134286,EU,69.28388571,73.081023
NA,1993,72.68485714,NA,66.96635714,69.7641899
OC,1993,70.47327273,OC,65.31327273,67.72719512
SA,1993,70.5955,SA,65.0945,67.82925
AllWorld,1993,69.51463512,AllWorld,63.87211765,66.60160881
AF,1994,55.09792453,AF,51.23403774,53.14199632
AS,1994,71.18837931,AS,65.91275862,68.44151976
EU,1994,77.78197222,EU,70.05255556,73.82134553
NA,1994,72.92160714,NA,67.16610714,69.98233449
OC,1994,70.72418182,OC,65.57009091,67.98090244
SA,1994,70.9165,SA,65.5955,68.25025
AllWorld,1994,69.77176084,AllWorld,64.25517499,66.93639142
AF,1995,55.39913208,AF,51.41811321,53.38859963
AS,1995,71.3577931,AS,66.15958621,68.65230614
EU,1995,77.78427778,EU,70.29216667,73.95804201
NA,1995,73.13317857,NA,67.40428571,70.20812979
OC,1995,71.43908333,OC,65.93091667,68.52606504
SA,1995,71.24575,SA,65.7465,68.48375
AllWorld,1995,70.05986914,AllWorld,64.49192808,67.20281543
AF,1996,55.33886792,AF,51.49639623,53.4016208
AS,1996,71.63451724,AS,66.40789655,68.90813373
EU,1996,78.18147222,EU,70.82038889,74.42443835
NA,1996,73.44525,NA,67.64375,70.4820601
