Year,continent,female,male,health expenditure per capita,all,GDP per capita,Female,Male,Health,All,GDP
2010,AS,75.72068966,70.3862069,1000.620066,73,21673.04663,9.153230935,9.12071658,2.678761494,8.859223301,6.133394443
2010,EU,81.53076923,75.37948718,2731.928825,77.93823529,30094.79653,9.855562099,9.767750939,7.313650796,9.458523701,8.516719451
2010,NA,76.26190476,70.95238095,1587.726945,73.38125,16781.40218,9.218653832,9.194081992,4.250506209,8.905491505,4.749076611
2010,OC,72.965,68.08,547.8340945,81.1,31586.09,8.820119022,8.821875934,1.466607484,9.84223301,8.938750153
2010,SA,76.4,70.04615385,854.6454824,73.94,12793.4127,9.235346992,9.076652158,2.287972716,8.973300971,3.620489897
2011,AF,62.14444444,58.43888889,251.7831744,60.27959184,5388.183673,7.51211398,7.57257091,0.674049118,7.315484446,1.524836649
2011,AS,75.90689655,70.5,997.8253531,73.13793103,22559.68966,9.175739905,9.135462006,2.671279764,8.875962504,6.384311238
2011,EU,81.78717949,75.78717949,2824.189292,78.29705882,30683.82353,9.886557357,9.820580124,7.560641431,9.502070246,8.683411978
2011,NA,77.3047619,71.82857143,1617.874352,74.59375,17138.75,9.344715973,9.307619649,4.33121388,9.052639563,4.850204763
2011,OC,73.09,68.365,553.5551596,80.9,32057,8.83522921,8.858806526,1.481923356,9.817961165,9.072015993
2011,SA,76.61538462,70.34615385,918.5163066,74.21,13402.1,9.261383008,9.115526464,2.458961396,9.006067961,3.792746219
2012,AF,62.78888889,59.00555556,256.8034751,60.84693878,5547.571429,7.590015394,7.646000155,0.687488972,7.38433723,1.569942812
2012,AS,75.98275862,70.62758621,1061.213595,73.25517241,23354.51724,9.184910226,9.151994757,2.840976523,8.890190827,6.609244593
2012,EU,81.83333333,75.91025641,2896.608621,78.39705882,30563,9.892136503,9.836528558,7.754515327,9.514206168,8.649219353
2012,NA,77.43809524,72.06666667,1640.795878,74.8125,17461.5,9.360833507,9.338472273,4.392577131,9.079186893,4.941541856
2012,OC,73.185,68.47,569.2043266,81.2,32674,8.846712953,8.872412533,1.523817765,9.854368932,9.24662478
2012,SA,76.81538462,70.50769231,955.8289871,74.46,13729.8,9.285559309,9.136458783,2.558851229,9.036407767,3.885484143
2013,AF,63.39814815,59.45740741,271.4397364,61.41836735,5619.285714,7.663663571,7.70455158,0.726671729,7.453685358,1.590237698
2013,AS,76.22068966,70.82068966,1164.421181,73.44827586,23006.41379,9.213671688,9.177017299,3.117273707,8.913625711,6.510732566
2013,EU,81.96923077,76.19487179,3016.805021,78.63823529,30724.70588,9.90856399,9.87340931,8.076293293,9.543475157,8.694981538
2013,NA,77.6047619,72.21428571,1714.929969,74.975,17725.5625,9.380980424,9.3576009,4.591041618,9.098907767,5.016270596
2013,OC,73.225,68.56,595.6639786,81.7,32989,8.851548213,8.884074825,1.594652939,9.915048544,9.33576865
2013,SA,77,70.75384615,1005.370519,74.71,14458.5,9.307875895,9.16835565,2.691478939,9.066747573,4.091703629
2014,AF,63.92037037,59.82037037,283.6628494,61.86938776,5725.020408,7.726790579,7.751584691,0.759394244,7.508420844,1.620160237
2014,AS,76.40344828,70.87241379,1241.102885,73.58275862,23158.24138,9.235763825,9.183719766,3.322558413,8.929946435,6.553699228
2014,EU,82.23846154,76.47435897,3091.505104,78.92352941,31232.23529,9.94110901,9.909625544,8.276272996,9.57809823,8.83861054
2014,NA,77.64285714,72.21904762,1793.676396,75.0375,18019.5625,9.385585434,9.358217952,4.801853796,9.106492718,5.099471541
2014,OC,73.345,68.675,627.5793886,81.8,33339,8.866053994,8.898976642,1.680093732,9.927184466,9.434817394
2014,SA,77.09230769,70.96153846,1047.230064,74.89,14483.6,9.319034188,9.195268631,2.803541192,9.088592233,4.098806839
