60.5,71.9,76.0,79.8,,Puerto Rico
52.7,69.0,74.8,80.9,AS,Qatar
46.8,65.6,75.8,81.8,,Reunion
62.2,69.1,71.3,76.2,EU,Romania
57.2,67.2,65.3,73.5,EU,Russia
43.3,44.7,47.1,66.3,AF,Rwanda
54.0,68.2,76.9,79.9,,Saint Barthlemy
66.0,69.1,75.8,76.4,,Saint Helena
54.4,63.1,69.8,71.5,,Saint Kitts and Nevis
45.6,65.9,70.8,73.4,,Saint Lucia
63.6,72.1,76.7,80.6,,Saint Martin (French part)
59.3,70.3,74.9,77.1,,Saint Pierre and Miquelon
51.4,69.4,71.4,74.1,,Saint Vincent and the Grenadines
47.7,62.8,70.7,72.6,,Samoa
68.7,75.3,79.9,82.9,EU,San Marino
40.1,58.3,61.7,68.4,AF,Sao Tome and Principe
41.0,58.1,72.5,77.2,AS,Saudi Arabia
36.4,44.1,56.9,68.1,AF,Senegal
57.7,68.3,71.4,76.5,EU,Serbia
50.9,62.1,69.7,74.0,AF,Seychelles
29.6,41.2,45.1,59.8,AF,Sierra Leone
50.7,70.7,79.1,83.5,,Singapore
59.8,72.6,74.5,75.1,,Sint Maarten (Dutch part)
60.8,70.3,73.1,77.3,EU,Slovakia
57.8,69.5,76.2,81.4,EU,Slovenia
48.8,60.9,68.5,72.2,,Small Island Developing States (SIDS)
40.0,58.1,67.2,70.2,OC,Solomon Islands
41.4,44.2,50.7,56.4,AF,Somalia
43.5,57.5,58.5,65.7,AF,South Africa
21.3,64.6,76.5,83.3,,South Korea
31.2,36.7,46.0,55.9,AF,South Sudan
61.8,73.5,79.4,83.1,EU,Spain
54.8,66.2,70.4,75.7,,Sri Lanka
46.8,53.4,58.3,65.7,AF,Sudan
50.4,61.0,65.5,72.6,SA,Suriname
71.1,75.0,79.7,82.5,EU,Sweden
68.9,74.8,79.8,83.6,EU,Switzerland
44.1,63.5,70.8,70.1,AS,Syria
55.7,71.0,76.2,80.5,,Taiwan
50.9,58.9,63.3,70.4,AS,Tajikistan
41.3,48.7,52.4,66.5,AF,Tanzania
