,YY,LE
OC,1994,70.72418181818182
SA,1994,70.9165
AllWorld,1994,69.77176083698465
AF,1995,55.3991320754717
AS,1995,71.35779310344829
EU,1995,77.78427777777777
NA,1995,73.13317857142857
OC,1995,71.43908333333333
SA,1995,71.24575
AllWorld,1995,70.0598691435766
AF,1996,55.3388679245283
AS,1996,71.6345172413793
EU,1996,78.18147222222223
NA,1996,73.44525
OC,1996,71.11590909090908
SA,1996,71.5745
AllWorld,1996,70.21508607983982
AF,1997,55.39
AS,1997,71.8108275862069
EU,1997,78.2635945945946
NA,1997,73.70246428571429
OC,1997,71.41345454545454
SA,1997,71.843
AllWorld,1997,70.40389016866172
AF,1998,55.08732075471698
AS,1998,72.03968965517241
EU,1998,78.57808333333334
NA,1998,73.65214285714286
OC,1998,71.59263636363636
SA,1998,72.19375
AllWorld,1998,70.52393716066699
AF,1999,55.77464150943396
AS,1999,72.38837931034483
EU,1999,78.73849999999999
NA,1999,74.18674999999999
OC,1999,71.57600000000001
SA,1999,72.5355
AllWorld,1999,70.86662846996315
AF,2000,56.11601886792453
AS,2000,72.78724137931034
EU,2000,78.77002702702703
NA,2000,74.47725
OC,2000,71.87330769230769
SA,2000,72.88125
AllWorld,2000,71.15084916109492
AF,2001,56.36152830188679
AS,2001,73.13658620689654
EU,2001,79.19897297297298
NA,2001,74.63532142857143
OC,2001,72.21909090909091
SA,2001,73.261
AllWorld,2001,71.4687499699031
AF,2002,56.66388679245284
AS,2002,73.38644827586207
EU,2002,79.26021621621622
NA,2002,74.96685714285715
OC,2002,72.13727272727273
SA,2002,73.59375
AllWorld,2002,71.66807185911017
AF,2003,57.04647169811321
AS,2003,73.6853448275862
EU,2003,79.36359459459459
NA,2003,75.10960714285714
OC,2003,72.42909090909092
SA,2003,73.544
AllWorld,2003,71.86301819537367
AF,2004,57.55501886792453
AS,2004,74.04748275862069
EU,2004,79.94872972972973
NA,2004,75.34278571428571
OC,2004,72.53381818181818
SA,2004,73.92775
AllWorld,2004,72.22593087539647
AF,2005,58.10381132075472
AS,2005,74.24562068965517
EU,2005,80.04859459459459
NA,2005,75.70692857142856
OC,2005,72.60341666666666
SA,2005,74.29125
AllWorld,2005,72.49993697384994
AF,2006,58.719
AS,2006,74.63879310344828
EU,2006,80.28078378378379
NA,2006,76.01031034482759
OC,2006,72.75172727272728
SA,2006,74.50725
AllWorld,2006,72.81797741746449
AF,2007,59.36815094339623
AS,2007,74.90610344827586
EU,2007,80.47502702702702
NA,2007,76.26851724137931
OC,2007,72.77
SA,2007,74.55675
AllWorld,2007,73.05742477667974
AF,2008,59.98018867924528
AS,2008,75.15037931034482
EU,2008,80.8278918918919
NA,2008,76.46244827586207
OC,2008,73.027
SA,2008,74.9655
AllWorld,2008,73.40223469289067
AF,2009,60.64781132075471
AS,2009,75.46137931034482
EU,2009,81.00848648648648
NA,2009,76.83320689655173
OC,2009,73.13490909090909
SA,2009,75.2745
AllWorld,2009,73.7267155175078
AF,2010,61.29281132075472
AS,2010,75.7616551724138
EU,2010,81.24635135135135
NA,2010,76.4996551724138
OC,2010,73.31054545454545
SA,2010,75.6825
AllWorld,2010,73.96558641191318
AF,2011,61.98554716981132
AS,2011,75.91086206896551
EU,2011,81.6824054054054
NA,2011,77.16675862068965
OC,2011,73.54745454545456
SA,2011,75.92025
AllWorld,2011,74.36887963505441
AF,2012,62.67396226415094
AS,2012,76.00434482758621
EU,2012,81.71794594594594
NA,2012,77.32103448275862
OC,2012,73.62727272727273
SA,2012,76.18424999999999
AllWorld,2012,74.58813504128574
AF,2013,63.22220754716981
AS,2013,76.27265517241379
EU,2013,81.83683783783785
NA,2013,77.48827586206896
OC,2013,73.73790909090908
SA,2013,76.37825000000001
AllWorld,2013,74.82268925173325
AF,2014,63.77330188679245
AS,2014,76.43596551724139
EU,2014,82.13735135135134
NA,2014,77.57579310344828
OC,2014,73.82727272727273
SA,2014,76.45525
AllWorld,2014,75.03415576435104
AF,2015,64.27303773584906
AS,2015,76.67437931034482
EU,2015,81.95424324324324
NA,2015,77.73179310344828
OC,2015,73.91390909090909
SA,2015,76.57875
AllWorld,2015,75.18768541396575
AF,2016,64.85781132075472
AS,2016,76.95203448275862
EU,2016,82.3015945945946
NA,2016,77.83958620689656
OC,2016,74.08463636363636
SA,2016,76.56575000000001
AllWorld,2016,75.4335688281068
AF,2017,65.30477358490566
AS,2017,77.3525172413793
EU,2017,82.38043243243243
NA,2017,77.94293103448275
OC,2017,74.24527272727272
SA,2017,76.8145
AllWorld,2017,75.67340450341214
AF,2018,65.59384905660377
AS,2018,77.50203448275863
EU,2018,82.48881081081082
NA,2018,77.88685714285714
