Year,continent,female,male,health expenditure per capita,all,GDP per capita,,Female,Male,Health,All,GDP
2010,EU,81.53076923076922,75.37948717948719,2731.92882492963,77.93823529411765,30094.796529411764,64,7.562871752060939,7.448885386738162,4.022151220995509,6.771723646723643,4.20870290111094
2010,NA,76.26190476190476,70.95238095238095,1587.726944817437,73.38125,16781.402175,65,6.319785803291367,6.270675813067509,1.1276832558975025,9.534662867996197,8.82953669148987
2010,OC,72.965,68.08,547.8340945243835,81.1,31586.09,66,7.614940059296181,7.07716399247408,1.9816709847567853,6.971729125575283,2.9639730736682255
2010,SA,76.4,70.04615384615384,854.6454823811849,73.94000000000001,12793.4127,67,6.219868517165814,6.073786680066842,2.492260398609828,5.597194827964056,3.0844769410104744
2010,WD,72.7,67.6,1038.08447265625,70.1,13179.495,68,2.2399346882653717,2.3160299634221815,0.30364652538518966,2.08196362042516,0.6526556777347168
2011,AF,62.144444444444446,58.43888888888888,251.78317436517455,60.27959183673469,5388.183673469388,69,7.429017197670234,7.263325191945867,2.38020199577442,6.684627223972935,6.01221989211539
2011,AS,75.90689655172415,70.5,997.8253530774798,73.13793103448276,22559.689655172413,70,9.64615649035363,9.432050577882691,7.463756432235867,8.531345477046834,8.547921608179593
2011,EU,81.78717948717949,75.78717948717949,2824.189291561351,78.29705882352941,30683.823529411766,71,7.956077244630503,7.808286185072713,4.106064390806013,7.2057400102271885,4.320238174545754
2011,NA,77.3047619047619,71.82857142857144,1617.8743523491753,74.59375,17138.75,72,6.366916598633612,6.387578735786651,1.1436074345209062,9.463072539995618,8.976516949766769
2011,OC,73.09,68.365,553.5551595687866,80.9,32057.0,73,7.6961500451166565,7.200219700599497,2.1594508920190596,7.068376068376072,3.153956332813003
2011,SA,76.61538461538461,70.34615384615384,918.5163065592448,74.21000000000001,13402.1,74,2.4829201220298174,2.5484685232146376,0.31762017616870764,2.2850463876104925,0.7024037260052416
2012,AF,62.788888888888884,59.00555555555556,256.8034750620524,60.8469387755102,5547.571428571428,75,7.457620714843454,7.315659228734837,2.5566386697707393,6.72659396797328,6.260301189828951
2012,AS,75.98275862068965,70.62758620689655,1061.2135950724285,73.2551724137931,23354.51724137931,76,9.6635586301723,9.482534970959787,7.665330497448509,8.567140641047125,8.510210212034112
2012,EU,81.83333333333333,75.91025641025641,2896.608621036305,78.3970588235294,30563.0,77,8.006350092995564,7.905949445489714,4.169864831357533,7.28404193147783,4.420974787399311
